[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.008121	0.100083	0.014083	0.026667	3.620308	0.243116	0.208255	0.222039	0.201287	0.215873	0.202746	0.209819	0.193887	0.210227	0.208661	0.207916	0.201671	0.200943	0.194312	0.203840	0.203770	0.196209	0.223695	0.297408	0.320632	0.082416	0.176451	0.033220
0.022552	0.100167	0.014083	0.026292	3.620296	0.243115	0.208256	0.222040	0.201287	0.215875	0.202745	0.209819	0.193886	0.210227	0.208660	0.207916	0.201671	0.200942	0.194311	0.203840	0.203770	0.196210	0.223696	0.297407	0.320632	0.082415	0.176371	0.033284
0.037242	0.100208	0.014125	0.026083	3.620296	0.243113	0.208256	0.222042	0.201287	0.215878	0.202745	0.209818	0.193885	0.210227	0.208659	0.207915	0.201671	0.200942	0.194310	0.203840	0.203771	0.196211	0.223697	0.297409	0.320634	0.082415	0.176301	0.033345
0.051673	0.100208	0.014125	0.025833	3.620269	0.243110	0.208255	0.222044	0.201287	0.215879	0.202745	0.209817	0.193884	0.210227	0.208658	0.207915	0.201671	0.200942	0.194309	0.203840	0.203772	0.196211	0.223697	0.297409	0.320632	0.082416	0.176235	0.033394
0.066167	0.100208	0.014083	0.026042	3.620224	0.243108	0.208255	0.222044	0.201287	0.215881	0.202745	0.209816	0.193884	0.210227	0.208659	0.207915	0.201672	0.200942	0.194309	0.203840	0.203773	0.196211	0.223696	0.297403	0.320632	0.082417	0.176140	0.033434
0.080987	0.100042	0.014125	0.026042	3.620185	0.243108	0.208255	0.222045	0.201288	0.215881	0.202745	0.209816	0.193884	0.210228	0.208659	0.207915	0.201673	0.200941	0.194309	0.203840	0.203773	0.196210	0.223695	0.297395	0.320634	0.082417	0.176004	0.033471
0.095285	0.100250	0.014083	0.026375	3.620218	0.243112	0.208257	0.222045	0.201288	0.215882	0.202746	0.209816	0.193884	0.210229	0.208659	0.207914	0.201673	0.200940	0.194309	0.203840	0.203773	0.196209	0.223695	0.297394	0.320643	0.082417	0.175882	0.033503
0.109975	0.100083	0.014000	0.026292	3.620335	0.243122	0.208258	0.222045	0.201288	0.215883	0.202747	0.209816	0.193884	0.210230	0.208659	0.207914	0.201673	0.200939	0.194309	0.203841	0.203773	0.196209	0.223696	0.297395	0.320656	0.082414	0.175788	0.033532
0.124602	0.100167	0.014042	0.026292	3.620422	0.243129	0.208259	0.222045	0.201288	0.215884	0.202747	0.209816	0.193884	0.210230	0.208658	0.207914	0.201672	0.200937	0.194307	0.203842	0.203772	0.196208	0.223697	0.297395	0.320664	0.082411	0.175758	0.033539
0.138871	0.100292	0.014125	0.026125	3.620483	0.243134	0.208259	0.222044	0.201287	0.215884	0.202746	0.209816	0.193883	0.210230	0.208658	0.207913	0.201672	0.200936	0.194307	0.203842	0.203772	0.196209	0.223698	0.297393	0.320669	0.082407	0.175774	0.033514
0.153785	0.100250	0.014167	0.026042	3.620544	0.243139	0.208259	0.222043	0.201287	0.215885	0.202745	0.209816	0.193882	0.210230	0.208659	0.207912	0.201671	0.200935	0.194307	0.203841	0.203773	0.196210	0.223699	0.297392	0.320672	0.082404	0.175821	0.033463
0.168250	0.100292	0.014167	0.026000	3.620594	0.243141	0.208258	0.222042	0.201286	0.215886	0.202744	0.209816	0.193880	0.210230	0.208660	0.207910	0.201671	0.200935	0.194307	0.203841	0.203775	0.196210	0.223700	0.297393	0.320674	0.082400	0.175879	0.033412
0.182646	0.100250	0.014167	0.026167	3.620660	0.243141	0.208258	0.222042	0.201285	0.215886	0.202743	0.209816	0.193878	0.210230	0.208661	0.207909	0.201670	0.200937	0.194306	0.203841	0.203776	0.196212	0.223701	0.297394	0.320677	0.082396	0.175950	0.033368
0.197373	0.100167	0.014083	0.026250	3.620718	0.243142	0.208259	0.222041	0.201285	0.215887	0.202743	0.209818	0.193878	0.210229	0.208661	0.207910	0.201669	0.200939	0.194306	0.203840	0.203776	0.196213	0.223702	0.297392	0.320680	0.082393	0.176040	0.033328
0.211863	0.100167	0.014042	0.026208	3.620749	0.243144	0.208259	0.222041	0.201283	0.215888	0.202743	0.209819	0.193879	0.210229	0.208662	0.207912	0.201667	0.200940	0.194306	0.203839	0.203776	0.196214	0.223701	0.297389	0.320684	0.082392	0.176116	0.033298
0.226425	0.100208	0.014083	0.026125	3.620748	0.243144	0.208260	0.222040	0.201282	0.215889	0.202742	0.209820	0.193879	0.210229	0.208662	0.207913	0.201665	0.200939	0.194306	0.203837	0.203777	0.196214	0.223700	0.297386	0.320688	0.082391	0.176136	0.033273
0.241017	0.100292	0.014083	0.026000	3.620710	0.243141	0.208261	0.222041	0.201281	0.215890	0.202742	0.209820	0.193880	0.210229	0.208662	0.207912	0.201665	0.200938	0.194306	0.203836	0.203778	0.196214	0.223700	0.297386	0.320690	0.082390	0.176085	0.033255
0.255415	0.100125	0.014167	0.026000	3.620657	0.243138	0.208261	0.222041	0.201281	0.215889	0.202741	0.209819	0.193882	0.210228	0.208662	0.207911	0.201666	0.200936	0.194306	0.203836	0.203779	0.196214	0.223700	0.297383	0.320690	0.082388	0.176015	0.033242
0.270298	0.100167	0.014083	0.025792	3.620595	0.243139	0.208262	0.222041	0.201281	0.215889	0.202740	0.209818	0.193883	0.210227	0.208663	0.207909	0.201667	0.200935	0.194306	0.203836	0.203779	0.196213	0.223701	0.297377	0.320691	0.082386	0.175963	0.033235
0.284535	0.100125	0.014167	0.025917	3.620560	0.243143	0.208262	0.222040	0.201281	0.215889	0.202740	0.209819	0.193884	0.210226	0.208663	0.207909	0.201668	0.200934	0.194305	0.203837	0.203779	0.196212	0.223702	0.297371	0.320692	0.082385	0.175975	0.033235
0.299258	0.100333	0.014000	0.026083	3.620538	0.243147	0.208263	0.222039	0.201282	0.215889	0.202741	0.209820	0.193884	0.210226	0.208663	0.207909	0.201668	0.200933	0.194305	0.203837	0.203779	0.196211	0.223703	0.297366	0.320694	0.082383	0.176021	0.033242
0.313917	0.100083	0.014042	0.026333	3.620520	0.243149	0.208264	0.222038	0.201282	0.215889	0.202741	0.209820	0.193884	0.210226	0.208663	0.207909	0.201668	0.200932	0.194304	0.203837	0.203779	0.196210	0.223703	0.297361	0.320695	0.082382	0.176061	0.033256
0.328181	0.100250	0.014167	0.026208	3.620499	0.243151	0.208265	0.222038	0.201281	0.215889	0.202742	0.209820	0.193884	0.210226	0.208663	0.207910	0.201667	0.200932	0.194303	0.203836	0.203779	0.196210	0.223705	0.297360	0.320695	0.082381	0.176097	0.033271
0.343067	0.100167	0.014042	0.026333	3.620461	0.243153	0.208267	0.222039	0.201283	0.215891	0.202742	0.209820	0.193885	0.210226	0.208665	0.207910	0.201667	0.200933	0.194303	0.203836	0.203780	0.196210	0.223705	0.297361	0.320694	0.082380	0.176148	0.033291
0.357527	0.100167	0.014000	0.026333	3.620418	0.243150	0.208267	0.222040	0.201284	0.215892	0.202741	0.209820	0.193885	0.210227	0.208665	0.207910	0.201668	0.200934	0.194302	0.203837	0.203782	0.196210	0.223703	0.297363	0.320693	0.082379	0.176211	0.033308
0.371929	0.100208	0.014083	0.026250	3.620383	0.243146	0.208266	0.222040	0.201285	0.215891	0.202741	0.209820	0.193884	0.210228	0.208664	0.207911	0.201668	0.200935	0.194302	0.203837	0.203783	0.196210	0.223702	0.297364	0.320691	0.082379	0.176273	0.033323
0.386712	0.100250	0.014250	0.026125	3.620347	0.243141	0.208264	0.222041	0.201287	0.215890	0.202740	0.209821	0.193884	0.210228	0.208663	0.207912	0.201667	0.200936	0.194303	0.203837	0.203782	0.196210	0.223703	0.297364	0.320686	0.082380	0.176337	0.033337
0.401079	0.100333	0.014083	0.026167	3.620290	0.243138	0.208261	0.222041	0.201288	0.215888	0.202740	0.209821	0.193885	0.210229	0.208661	0.207912	0.201665	0.200936	0.194304	0.203836	0.203782	0.196211	0.223703	0.297365	0.320680	0.082381	0.176394	0.033351
0.415740	0.100250	0.014083	0.026292	3.620218	0.243135	0.208258	0.222040	0.201289	0.215888	0.202740	0.209821	0.193886	0.210230	0.208660	0.207913	0.201664	0.200936	0.194303	0.203836	0.203781	0.196211	0.223703	0.297366	0.320674	0.082381	0.176447	0.033367
0.430298	0.100125	0.014167	0.026208	3.620162	0.243134	0.208257	0.222039	0.201290	0.215889	0.202740	0.209821	0.193888	0.210230	0.208660	0.207913	0.201664	0.200937	0.194303	0.203836	0.203780	0.196211	0.223703	0.297364	0.320673	0.082381	0.176496	0.033383
0.444694	0.100208	0.014250	0.026083	3.620135	0.243133	0.208256	0.222039	0.201290	0.215891	0.202740	0.209822	0.193889	0.210231	0.208661	0.207914	0.201665	0.200937	0.194303	0.203838	0.203780	0.196211	0.223705	0.297361	0.320676	0.082381	0.176528	0.033398
0.459579	0.100125	0.014083	0.026125	3.620121	0.243131	0.208257	0.222040	0.201291	0.215891	0.202741	0.209821	0.193890	0.210232	0.208661	0.207914	0.201665	0.200938	0.194303	0.203838	0.203780	0.196211	0.223707	0.297356	0.320680	0.082380	0.176519	0.033412
0.473846	0.100125	0.014083	0.026333	3.620111	0.243129	0.208257	0.222040	0.201291	0.215890	0.202743	0.209820	0.193891	0.210232	0.208662	0.207915	0.201665	0.200938	0.194303	0.203838	0.203780	0.196211	0.223709	0.297351	0.320681	0.082379	0.176488	0.033423
0.488602	0.100125	0.014208	0.026333	3.620106	0.243127	0.208256	0.222040	0.201290	0.215889	0.202745	0.209821	0.193891	0.210232	0.208662	0.207915	0.201666	0.200940	0.194303	0.203838	0.203781	0.196212	0.223711	0.297347	0.320684	0.082378	0.176459	0.033433
0.503192	0.100167	0.014042	0.026333	3.620114	0.243126	0.208256	0.222041	0.201289	0.215889	0.202746	0.209821	0.193892	0.210232	0.208661	0.207915	0.201666	0.200940	0.194303	0.203838	0.203780	0.196213	0.223712	0.297346	0.320687	0.082378	0.176434	0.033440
0.517396	0.100167	0.014208	0.026292	3.620133	0.243126	0.208256	0.222041	0.201289	0.215890	0.202746	0.209822	0.193892	0.210232	0.208661	0.207914	0.201665	0.200940	0.194304	0.203839	0.203779	0.196214	0.223713	0.297347	0.320691	0.082378	0.176391	0.033445
0.532413	0.100250	0.014000	0.026417	3.620158	0.243127	0.208256	0.222040	0.201289	0.215890	0.202746	0.209822	0.193891	0.210231	0.208661	0.207913	0.201665	0.200939	0.194304	0.203840	0.203778	0.196214	0.223714	0.297347	0.320695	0.082377	0.176309	0.033447
0.546777	0.100208	0.014083	0.026542	3.620185	0.243129	0.208256	0.222040	0.201289	0.215890	0.202746	0.209823	0.193891	0.210229	0.208659	0.207911	0.201664	0.200939	0.194305	0.203840	0.203776	0.196214	0.223715	0.297346	0.320698	0.082376	0.176232	0.033445
0.561173	0.100208	0.014250	0.026458	3.620220	0.243130	0.208256	0.222038	0.201289	0.215888	0.202745	0.209824	0.193890	0.210227	0.208659	0.207910	0.201663	0.200938	0.194306	0.203841	0.203776	0.196214	0.223715	0.297345	0.320701	0.082375	0.176166	0.033437
0.575994	0.100208	0.014167	0.026417	3.620265	0.243132	0.208257	0.222037	0.201289	0.215886	0.202745	0.209824	0.193889	0.210226	0.208659	0.207909	0.201664	0.200937	0.194307	0.203840	0.203777	0.196214	0.223715	0.297343	0.320708	0.082374	0.176118	0.033425
0.590360	0.100167	0.014042	0.026500	3.620301	0.243133	0.208258	0.222036	0.201290	0.215884	0.202744	0.209823	0.193889	0.210226	0.208659	0.207910	0.201663	0.200936	0.194308	0.203838	0.203779	0.196213	0.223714	0.297339	0.320713	0.082374	0.176085	0.033411
0.605048	0.100125	0.014083	0.026333	3.620334	0.243135	0.208258	0.222036	0.201290	0.215882	0.202743	0.209821	0.193890	0.210226	0.208659	0.207911	0.201663	0.200935	0.194309	0.203837	0.203779	0.196211	0.223713	0.297335	0.320716	0.082374	0.176079	0.033397
0.619544	0.100125	0.014000	0.026458	3.620352	0.243136	0.208259	0.222035	0.201289	0.215880	0.202742	0.209820	0.193890	0.210226	0.208659	0.207912	0.201663	0.200933	0.194309	0.203837	0.203779	0.196210	0.223713	0.297332	0.320718	0.082374	0.176109	0.033385
0.634040	0.100208	0.014125	0.026500	3.620351	0.243135	0.208260	0.222034	0.201288	0.215878	0.202743	0.209818	0.193890	0.210225	0.208659	0.207912	0.201663	0.200933	0.194309	0.203838	0.203778	0.196210	0.223714	0.297329	0.320721	0.082373	0.176146	0.033374
0.648858	0.100250	0.014250	0.026583	3.620338	0.243134	0.208260	0.222033	0.201287	0.215878	0.202744	0.209817	0.193889	0.210225	0.208660	0.207913	0.201664	0.200935	0.194309	0.203838	0.203778	0.196211	0.223715	0.297325	0.320723	0.082373	0.176169	0.033367
0.663127	0.100208	0.013958	0.026208	3.620337	0.243134	0.208259	0.222033	0.201287	0.215879	0.202744	0.209817	0.193889	0.210224	0.208660	0.207914	0.201664	0.200937	0.194309	0.203837	0.203778	0.196211	0.223715	0.297321	0.320725	0.082373	0.176177	0.033366
0.677850	0.100042	0.014167	0.026417	3.620359	0.243134	0.208259	0.222033	0.201287	0.215879	0.202743	0.209817	0.193888	0.210224	0.208661	0.207914	0.201664	0.200938	0.194308	0.203837	0.203778	0.196212	0.223714	0.297317	0.320728	0.082373	0.176177	0.033378
0.692408	0.100125	0.014333	0.026500	3.620393	0.243133	0.208258	0.222033	0.201287	0.215879	0.202742	0.209816	0.193888	0.210226	0.208661	0.207914	0.201664	0.200938	0.194307	0.203837	0.203777	0.196212	0.223712	0.297314	0.320730	0.082372	0.176172	0.033402
0.706710	0.100250	0.014250	0.026333	3.620407	0.243133	0.208258	0.222033	0.201288	0.215879	0.202742	0.209814	0.193887	0.210227	0.208661	0.207914	0.201663	0.200938	0.194306	0.203838	0.203777	0.196213	0.223712	0.297314	0.320729	0.082371	0.176167	0.033425
0.721692	0.100167	0.014167	0.026458	3.620404	0.243135	0.208257	0.222033	0.201287	0.215878	0.202742	0.209812	0.193887	0.210228	0.208660	0.207915	0.201663	0.200938	0.194306	0.203838	0.203776	0.196212	0.223712	0.297315	0.320728	0.082370	0.176168	0.033444
0.738365	0.100167	0.014208	0.026500	3.620421	0.243139	0.208257	0.222033	0.201287	0.215878	0.202742	0.209810	0.193887	0.210227	0.208659	0.207916	0.201663	0.200938	0.194306	0.203839	0.203776	0.196212	0.223713	0.297313	0.320731	0.082371	0.176166	0.033457
0.768948	0.100125	0.014083	0.026250	3.620534	0.243148	0.208259	0.222035	0.201287	0.215880	0.202744	0.209813	0.193890	0.210229	0.208660	0.207916	0.201663	0.200938	0.194306	0.203841	0.203778	0.196213	0.223715	0.297312	0.320743	0.082373	0.176069	0.033463
0.783377	0.100125	0.014125	0.026292	3.620579	0.243150	0.208259	0.222036	0.201287	0.215881	0.202743	0.209814	0.193890	0.210228	0.208661	0.207914	0.201664	0.200937	0.194306	0.203841	0.203778	0.196213	0.223716	0.297312	0.320747	0.082375	0.175956	0.033455
0.797806	0.100167	0.014083	0.026292	3.620609	0.243153	0.208259	0.222036	0.201285	0.215883	0.202743	0.209815	0.193890	0.210228	0.208661	0.207913	0.201664	0.200936	0.194305	0.203841	0.203777	0.196213	0.223716	0.297312	0.320752	0.082376	0.175852	0.033443
0.828387	0.100083	0.013958	0.026292	3.620656	0.243154	0.208260	0.222035	0.201285	0.215885	0.202739	0.209815	0.193889	0.210227	0.208660	0.207912	0.201665	0.200936	0.194305	0.203841	0.203776	0.196213	0.223717	0.297321	0.320759	0.082377	0.175846	0.033413
0.845129	0.100292	0.014167	0.026500	3.620688	0.243153	0.208260	0.222036	0.201286	0.215885	0.202739	0.209816	0.193889	0.210226	0.208661	0.207913	0.201665	0.200936	0.194305	0.203841	0.203776	0.196214	0.223717	0.297325	0.320761	0.082378	0.175948	0.033394
0.859850	0.100292	0.014000	0.026458	3.620733	0.243152	0.208260	0.222037	0.201286	0.215886	0.202739	0.209815	0.193888	0.210226	0.208661	0.207913	0.201665	0.200938	0.194306	0.203842	0.203776	0.196215	0.223716	0.297329	0.320761	0.082377	0.176068	0.033377
0.874313	0.100125	0.014292	0.026667	3.620771	0.243151	0.208261	0.222037	0.201286	0.215885	0.202739	0.209814	0.193888	0.210226	0.208662	0.207912	0.201665	0.200939	0.194307	0.203842	0.203777	0.196215	0.223716	0.297332	0.320760	0.082376	0.176146	0.033360
0.889002	0.100167	0.014083	0.026708	3.620807	0.243151	0.208261	0.222037	0.201287	0.215884	0.202739	0.209814	0.193887	0.210228	0.208661	0.207911	0.201666	0.200940	0.194308	0.203841	0.203777	0.196214	0.223717	0.297335	0.320760	0.082375	0.176144	0.033344
0.903431	0.100292	0.014083	0.026625	3.620852	0.243152	0.208261	0.222037	0.201287	0.215884	0.202739	0.209815	0.193888	0.210228	0.208660	0.207910	0.201667	0.200940	0.194310	0.203840	0.203777	0.196214	0.223719	0.297337	0.320762	0.082375	0.176081	0.033330
0.917958	0.100083	0.014167	0.026625	3.620888	0.243152	0.208262	0.222036	0.201288	0.215884	0.202739	0.209816	0.193887	0.210229	0.208659	0.207910	0.201667	0.200940	0.194311	0.203840	0.203776	0.196214	0.223721	0.297339	0.320766	0.082374	0.176016	0.033315
0.932812	0.100292	0.014125	0.026667	3.620900	0.243153	0.208263	0.222035	0.201288	0.215884	0.202739	0.209815	0.193887	0.210228	0.208657	0.207911	0.201667	0.200941	0.194312	0.203840	0.203776	0.196214	0.223721	0.297342	0.320767	0.082374	0.175979	0.033299
0.947015	0.100250	0.014042	0.026542	3.620901	0.243154	0.208263	0.222035	0.201288	0.215886	0.202740	0.209815	0.193887	0.210227	0.208656	0.207912	0.201667	0.200941	0.194312	0.203840	0.203777	0.196215	0.223720	0.297341	0.320769	0.082373	0.176001	0.033287
0.961738	0.100208	0.014042	0.026333	3.620923	0.243156	0.208264	0.222037	0.201289	0.215887	0.202740	0.209814	0.193886	0.210228	0.208656	0.207912	0.201667	0.200942	0.194312	0.203840	0.203777	0.196215	0.223719	0.297340	0.320773	0.082372	0.176054	0.033276
0.976392	0.100250	0.014125	0.026542	3.620952	0.243153	0.208264	0.222038	0.201290	0.215887	0.202741	0.209813	0.193886	0.210228	0.208656	0.207911	0.201667	0.200942	0.194312	0.203840	0.203778	0.196214	0.223719	0.297342	0.320775	0.082371	0.176100	0.033266
0.990565	0.100167	0.014208	0.026583	3.620953	0.243150	0.208265	0.222038	0.201290	0.215885	0.202742	0.209813	0.193885	0.210228	0.208655	0.207909	0.201667	0.200943	0.194313	0.203840	0.203778	0.196213	0.223717	0.297346	0.320773	0.082371	0.176143	0.033258
1.005515	0.100208	0.014042	0.026375	3.620917	0.243149	0.208265	0.222038	0.201290	0.215884	0.202741	0.209812	0.193886	0.210228	0.208655	0.207908	0.201665	0.200943	0.194314	0.203839	0.203779	0.196212	0.223716	0.297347	0.320770	0.082372	0.176228	0.033248
1.020010	0.100208	0.014083	0.026417	3.620860	0.243148	0.208265	0.222038	0.201290	0.215883	0.202741	0.209812	0.193886	0.210227	0.208655	0.207908	0.201663	0.200941	0.194314	0.203836	0.203779	0.196211	0.223716	0.297346	0.320768	0.082374	0.176391	0.033240
1.034440	0.100333	0.013917	0.026333	3.620803	0.243148	0.208266	0.222040	0.201290	0.215885	0.202740	0.209813	0.193887	0.210228	0.208656	0.207908	0.201661	0.200939	0.194315	0.203834	0.203779	0.196212	0.223716	0.297344	0.320768	0.082375	0.176630	0.033233
1.049127	0.100417	0.014083	0.026500	3.620754	0.243150	0.208265	0.222040	0.201289	0.215888	0.202739	0.209814	0.193888	0.210230	0.208658	0.207909	0.201661	0.200940	0.194316	0.203833	0.203780	0.196212	0.223717	0.297340	0.320767	0.082375	0.176955	0.033225
1.063590	0.100625	0.014083	0.026708	3.620693	0.243152	0.208267	0.222040	0.201288	0.215891	0.202740	0.209815	0.193888	0.210231	0.208659	0.207910	0.201662	0.200941	0.194315	0.203834	0.203782	0.196211	0.223718	0.297335	0.320766	0.082375	0.177396	0.033216
1.078217	0.100833	0.014167	0.026917	3.620603	0.243152	0.208268	0.222040	0.201288	0.215893	0.202741	0.209817	0.193888	0.210230	0.208659	0.207911	0.201663	0.200941	0.194315	0.203835	0.203783	0.196211	0.223717	0.297329	0.320764	0.082374	0.178111	0.033207
1.092744	0.101250	0.014208	0.026458	3.620481	0.243150	0.208269	0.222041	0.201288	0.215893	0.202744	0.209817	0.193888	0.210231	0.208659	0.207912	0.201664	0.200942	0.194314	0.203837	0.203783	0.196211	0.223716	0.297325	0.320762	0.082373	0.179223	0.033198
1.107240	0.101458	0.014083	0.026500	3.620326	0.243146	0.208269	0.222042	0.201289	0.215892	0.202746	0.209816	0.193887	0.210231	0.208659	0.207911	0.201664	0.200942	0.194314	0.203838	0.203782	0.196211	0.223714	0.297321	0.320758	0.082372	0.180947	0.033191
1.122025	0.101667	0.014167	0.026750	3.620107	0.243142	0.208269	0.222043	0.201289	0.215891	0.202747	0.209814	0.193887	0.210232	0.208659	0.207911	0.201665	0.200941	0.194312	0.203840	0.203780	0.196213	0.223713	0.297317	0.320754	0.082373	0.183373	0.033185
1.136360	0.101917	0.014083	0.026667	3.619946	0.243140	0.208270	0.222044	0.201290	0.215891	0.202749	0.209813	0.193887	0.210232	0.208660	0.207911	0.201665	0.200940	0.194312	0.203840	0.203779	0.196214	0.223714	0.297310	0.320752	0.082376	0.186142	0.033180
1.151050	0.102042	0.014167	0.026625	3.619753	0.243138	0.208271	0.222045	0.201291	0.215893	0.202750	0.209812	0.193887	0.210232	0.208661	0.207912	0.201665	0.200940	0.194312	0.203841	0.203778	0.196214	0.223715	0.297303	0.320746	0.082380	0.189466	0.033175
1.165608	0.102208	0.014083	0.026417	3.619484	0.243134	0.208273	0.222045	0.201294	0.215894	0.202752	0.209813	0.193887	0.210232	0.208663	0.207914	0.201665	0.200940	0.194311	0.203841	0.203778	0.196215	0.223715	0.297295	0.320735	0.082384	0.193329	0.033169
1.179942	0.102250	0.014292	0.026500	3.619243	0.243130	0.208276	0.222048	0.201297	0.215897	0.202753	0.209815	0.193887	0.210232	0.208664	0.207915	0.201665	0.200940	0.194312	0.203843	0.203778	0.196217	0.223716	0.297291	0.320725	0.082389	0.197151	0.033162
1.194827	0.102417	0.014333	0.026417	3.619026	0.243129	0.208285	0.222058	0.201304	0.215908	0.202756	0.209818	0.193888	0.210234	0.208665	0.207917	0.201666	0.200940	0.194315	0.203845	0.203780	0.196221	0.223717	0.297290	0.320717	0.082397	0.201499	0.033156
1.209258	0.102542	0.014542	0.026583	3.618794	0.243136	0.208297	0.222069	0.201310	0.215921	0.202761	0.209822	0.193891	0.210238	0.208665	0.207918	0.201667	0.200942	0.194317	0.203848	0.203781	0.196224	0.223720	0.297289	0.320709	0.082408	0.205756	0.033151
1.223719	0.102708	0.014417	0.026833	3.618545	0.243150	0.208311	0.222086	0.201318	0.215933	0.202767	0.209826	0.193896	0.210243	0.208667	0.207920	0.201670	0.200947	0.194319	0.203850	0.203784	0.196229	0.223724	0.297291	0.320704	0.082420	0.210012	0.033147
1.238408	0.102708	0.014542	0.027375	3.618379	0.243183	0.208364	0.222146	0.201336	0.215951	0.202775	0.209832	0.193903	0.210249	0.208671	0.207923	0.201673	0.200953	0.194322	0.203853	0.203790	0.196234	0.223732	0.297295	0.320711	0.082438	0.214332	0.033143
